cell  80                                                                                                                              
      energy   
    5.5393E+00   4.33377E-09 0.0655
    5.6400E+00   4.50232E-09 0.0651
    5.7407E+00   4.37970E-09 0.0663
    5.8414E+00   4.09989E-09 0.0689
    5.9421E+00   3.88606E-09 0.0718
    6.0429E+00   3.96269E-09 0.0703
    6.1436E+00   3.51160E-09 0.0761
    6.2443E+00   3.69553E-09 0.0728
    6.3450E+00   2.02080E-09 0.0987
    6.4457E+00   2.91309E-09 0.0849
    6.5464E+00   3.11641E-09 0.0800
    6.6471E+00   3.39040E-09 0.0782
    6.7479E+00   3.42619E-09 0.0777
    6.8486E+00   3.33281E-09 0.0798
    6.9493E+00   3.35210E-09 0.0793
    7.0500E+00   3.69007E-09 0.0751
    7.1507E+00   3.05326E-09 0.0822
    7.2514E+00   3.06328E-09 0.0851
    7.3521E+00   2.08888E-09 0.0998
    7.4529E+00   1.42740E-09 0.1204
    7.5536E+00   1.54597E-09 0.1139
    7.6543E+00   1.60793E-09 0.1142
    7.7550E+00   1.36943E-09 0.1232
    7.8557E+00   1.35386E-09 0.1221
    7.9564E+00   9.03927E-10 0.1462
    8.0571E+00   1.05475E-09 0.1375
    8.1579E+00   1.25933E-09 0.1271
    8.2586E+00   1.34793E-09 0.1262
    8.3593E+00   1.44148E-09 0.1224
    8.4600E+00   1.50607E-09 0.1194
    8.5607E+00   1.38431E-09 0.1218
    8.6614E+00   1.00872E-09 0.1470
    8.7621E+00   1.21624E-09 0.1362
    8.8629E+00   1.19489E-09 0.1402
    8.9636E+00   1.05334E-09 0.1400
    9.0643E+00   8.84137E-10 0.1586
    9.1650E+00   4.97025E-10 0.1922
    9.2657E+00   6.27793E-10 0.1794
    9.3664E+00   5.84887E-10 0.1904
    9.4671E+00   5.54688E-10 0.1935
    9.5679E+00   6.26023E-10 0.1944
    9.6686E+00   6.31880E-10 0.1913
    9.7693E+00   5.95449E-10 0.1966
    9.8700E+00   4.92960E-10 0.2166
    9.9707E+00   5.77104E-10 0.2040
    1.0071E+01   5.73295E-10 0.1978
    1.0172E+01   3.94120E-10 0.2442
    1.0273E+01   4.45501E-10 0.2401
    1.0374E+01   4.15708E-10 0.2506
    1.0474E+01   4.10787E-10 0.2450
    1.0575E+01   4.43673E-10 0.2305
    1.0676E+01   3.31406E-10 0.2660
    1.0776E+01   3.87170E-10 0.2507
    1.0877E+01   4.38923E-10 0.2366
    1.0978E+01   3.00706E-10 0.2849
    1.1079E+01   2.39434E-10 0.2842
    1.1179E+01   2.33634E-10 0.3202
    1.1280E+01   4.22217E-10 0.2471
    1.1381E+01   2.10521E-10 0.3300
    1.1481E+01   1.52977E-10 0.3870
    1.1582E+01   3.72323E-10 0.2690
    1.1683E+01   2.49406E-10 0.3400
    1.1784E+01   1.38688E-10 0.3951
    1.1884E+01   1.72553E-10 0.3585
    1.1985E+01   1.52579E-10 0.4185
    1.2086E+01   1.71875E-10 0.3590
    1.2186E+01   6.15934E-11 0.5870
    1.2287E+01   9.93803E-11 0.4772
    1.2388E+01   1.01042E-10 0.5078
    1.2489E+01   1.88671E-10 0.3615
    1.2589E+01   1.79245E-10 0.3843
    1.2690E+01   2.48363E-11 0.8190
    1.2791E+01   1.81662E-10 0.3758
    1.2891E+01   1.43311E-10 0.3963
    1.2992E+01   6.82464E-11 0.6039
    1.3093E+01   3.20357E-11 0.8480
    1.3194E+01   9.55722E-11 0.5203
    1.3294E+01   1.43781E-10 0.4550
    1.3395E+01   7.41458E-11 0.5800
    1.3496E+01   4.36698E-11 0.7159
    1.3596E+01   6.28076E-11 0.5783
    1.3697E+01   1.09209E-10 0.4524
    1.3798E+01   2.51669E-11 0.7092
    1.3899E+01   2.19087E-11 1.0000
    1.3999E+01   4.20054E-11 0.7628
    1.4100E+01   9.10131E-11 0.5844
      total      4.99029E-07 0.0055
 
 cell  85                                                                                                                              
      energy   
    0.0000E+00   0.00000E+00 0.0000
    2.5000E-08   3.21102E-17 0.1603
    1.0071E-01   1.69256E-08 0.0093
    2.0143E-01   1.97312E-08 0.0126
    3.0214E-01   2.09891E-08 0.0143
    4.0286E-01   2.25345E-08 0.0153
    5.0357E-01   2.29272E-08 0.0165
    6.0429E-01   2.18310E-08 0.0173
    7.0500E-01   2.27448E-08 0.0177
    8.0571E-01   2.39161E-08 0.0180
    9.0643E-01   2.40591E-08 0.0184
    1.0071E+00   2.45308E-08 0.0196
    1.1079E+00   2.35243E-08 0.0204
    1.2086E+00   2.39831E-08 0.0204
    1.3093E+00   2.22404E-08 0.0215
    1.4100E+00   2.27344E-08 0.0216
    1.5107E+00   2.10310E-08 0.0226
    1.6114E+00   2.14920E-08 0.0228
    1.7121E+00   2.14313E-08 0.0233
    1.8129E+00   2.02262E-08 0.0244
    1.9136E+00   2.01789E-08 0.0247
    2.0143E+00   2.06169E-08 0.0248
    2.1150E+00   1.92100E-08 0.0256
    2.2157E+00   1.97555E-08 0.0258
    2.3164E+00   1.89050E-08 0.0265
    2.4171E+00   1.66895E-08 0.0280
    2.5179E+00   1.85696E-08 0.0273
    2.6186E+00   1.70098E-08 0.0287
    2.7193E+00   1.69587E-08 0.0290
    2.8200E+00   1.53482E-08 0.0307
    2.9207E+00   1.40155E-08 0.0323
    3.0214E+00   1.43173E-08 0.0325
    3.1221E+00   1.66044E-08 0.0303
    3.2229E+00   1.38376E-08 0.0339
    3.3236E+00   1.37977E-08 0.0344
    3.4243E+00   1.34301E-08 0.0353
    3.5250E+00   1.31074E-08 0.0358
    3.6257E+00   1.16278E-08 0.0378
    3.7264E+00   1.15884E-08 0.0384
    3.8271E+00   1.29037E-08 0.0368
    3.9279E+00   1.15783E-08 0.0382
    4.0286E+00   1.24755E-08 0.0371
    4.1293E+00   1.30609E-08 0.0363
    4.2300E+00   1.25861E-08 0.0375
    4.3307E+00   1.17604E-08 0.0391
    4.4314E+00   1.06625E-08 0.0408
    4.5321E+00   1.12505E-08 0.0393
    4.6329E+00   1.15437E-08 0.0394
    4.7336E+00   1.09572E-08 0.0400
    4.8343E+00   1.08822E-08 0.0405
    4.9350E+00   1.18928E-08 0.0395
    5.0357E+00   1.06636E-08 0.0423
    5.1364E+00   1.04659E-08 0.0435
    5.2371E+00   9.66927E-09 0.0438
    5.3379E+00   9.43389E-09 0.0444
    5.4386E+00   7.73444E-09 0.0489
    5.5393E+00   7.95942E-09 0.0480
    5.6400E+00   7.68349E-09 0.0500
    5.7407E+00   8.25490E-09 0.0494
    5.8414E+00   7.50722E-09 0.0510
    5.9421E+00   7.29519E-09 0.0522
    6.0429E+00   5.92291E-09 0.0580
    6.1436E+00   6.19433E-09 0.0573
    6.2443E+00   6.28148E-09 0.0564
    6.3450E+00   4.24748E-09 0.0680
    6.4457E+00   5.66694E-09 0.0618
    6.5464E+00   5.80125E-09 0.0588
    6.6471E+00   5.67907E-09 0.0605
    6.7479E+00   5.68255E-09 0.0611
    6.8486E+00   5.44926E-09 0.0628
    6.9493E+00   5.27884E-09 0.0621
    7.0500E+00   4.54664E-09 0.0667
    7.1507E+00   5.56893E-09 0.0616
    7.2514E+00   5.56589E-09 0.0639
    7.3521E+00   3.74768E-09 0.0762
    7.4529E+00   2.36309E-09 0.0930
    7.5536E+00   2.48912E-09 0.0928
    7.6543E+00   2.54193E-09 0.0882
    7.7550E+00   2.09661E-09 0.0972
    7.8557E+00   2.26590E-09 0.0969
    7.9564E+00   2.20748E-09 0.0950
    8.0571E+00   1.75857E-09 0.1054
    8.1579E+00   2.01209E-09 0.1003
    8.2586E+00   1.95756E-09 0.1051
    8.3593E+00   1.74914E-09 0.1124
    8.4600E+00   2.17307E-09 0.0994
    8.5607E+00   2.02817E-09 0.1045
    8.6614E+00   1.76661E-09 0.1117
    8.7621E+00   1.98512E-09 0.1062
    8.8629E+00   1.49184E-09 0.1202
    8.9636E+00   1.37562E-09 0.1285
    9.0643E+00   1.50505E-09 0.1222
    9.1650E+00   1.42470E-09 0.1238
    9.2657E+00   1.29942E-09 0.1274
    9.3664E+00   1.14857E-09 0.1366
    9.4671E+00   1.11114E-09 0.1388
    9.5679E+00   1.09755E-09 0.1451
    9.6686E+00   1.18526E-09 0.1389
    9.7693E+00   1.31492E-09 0.1354
    9.8700E+00   1.19657E-09 0.1406
    9.9707E+00   1.04176E-09 0.1510
    1.0071E+01   8.49684E-10 0.1720
    1.0172E+01   8.00008E-10 0.1690
    1.0273E+01   7.98780E-10 0.1711
    1.0374E+01   4.88447E-10 0.2211
    1.0474E+01   7.64056E-10 0.1788
    1.0575E+01   9.21462E-10 0.1663
    1.0676E+01   7.10345E-10 0.1809
    1.0776E+01   6.49271E-10 0.1887
    1.0877E+01   6.99468E-10 0.1883
    1.0978E+01   5.28692E-10 0.2212
    1.1079E+01   3.30928E-10 0.2711
    1.1179E+01   4.96180E-10 0.2247
    1.1280E+01   2.54652E-10 0.3157
    1.1381E+01   3.80032E-10 0.2632
    1.1481E+01   4.47201E-10 0.2458
    1.1582E+01   3.95808E-10 0.2691
    1.1683E+01   5.25659E-10 0.2176
    1.1784E+01   3.25893E-10 0.2994
    1.1884E+01   1.67654E-10 0.3553
    1.1985E+01   3.18800E-10 0.3048
    1.2086E+01   2.91189E-10 0.2895
    1.2186E+01   3.25540E-10 0.2938
    1.2287E+01   2.36706E-10 0.3585
    1.2388E+01   2.20298E-10 0.3517
    1.2489E+01   8.92729E-11 0.5207
    1.2589E+01   1.90388E-10 0.3487
    1.2690E+01   1.30389E-10 0.4570
    1.2791E+01   2.33928E-10 0.3289
    1.2891E+01   1.23155E-10 0.4487
    1.2992E+01   9.61348E-11 0.5774
    1.3093E+01   6.58815E-11 0.6202
    1.3194E+01   6.97813E-11 0.5740
    1.3294E+01   1.54160E-10 0.3885
    1.3395E+01   7.30783E-11 0.6135
    1.3496E+01   2.11609E-10 0.3445
    1.3596E+01   9.44337E-11 0.5061
    1.3697E+01   8.87935E-11 0.5784
    1.3798E+01   1.45371E-10 0.3882
    1.3899E+01   9.49256E-11 0.5794
    1.3999E+01   1.60411E-10 0.4133
    1.4100E+01   1.86380E-10 0.3562
      total      1.06500E-06 0.0037
